epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,85.7901,1.13876,0.51026,0.87,0.99204,0.97987,0.99379,0.64108,1.20433,0.4949,0.84091,0.0007724,0.0007724,0.0007724
64,87.0903,1.10914,0.5,0.86864,0.97941,0.95797,0.99051,0.59583,1.28526,0.535,0.8531,0.0007526,0.0007526,0.0007526
65,88.3796,1.1459,0.52154,0.8762,0.98421,0.97987,0.99304,0.64155,1.19047,0.50113,0.83982,0.0007328,0.0007328,0.0007328
66,89.6865,1.15649,0.51034,0.86797,0.97499,0.97315,0.9861,0.64608,1.19218,0.49979,0.84063,0.000713,0.000713,0.000713
67,90.9803,1.12752,0.5135,0.87201,0.97946,0.96005,0.98638,0.60846,1.29061,0.52723,0.85477,0.0006932,0.0006932,0.0006932
68,92.2776,1.09745,0.50167,0.86805,0.99324,0.98639,0.99345,0.62323,1.24325,0.51324,0.85168,0.0006734,0.0006734,0.0006734
69,93.5877,1.12426,0.50387,0.86951,0.98612,0.98658,0.99324,0.65316,1.16861,0.50454,0.83733,0.0006536,0.0006536,0.0006536
70,94.8849,1.11385,0.5033,0.86903,0.99266,0.97987,0.99356,0.64838,1.22513,0.50838,0.84787,0.0006338,0.0006338,0.0006338
71,96.1733,1.09768,0.49735,0.86665,0.99163,0.97987,0.99236,0.65453,1.2067,0.5109,0.84733,0.000614,0.000614,0.000614
72,97.5277,1.12446,0.51133,0.87839,0.99222,0.98658,0.99453,0.61661,1.23846,0.51431,0.85209,0.0005942,0.0005942,0.0005942
73,98.9616,1.09464,0.49886,0.8709,0.99837,0.98658,0.9948,0.63599,1.24101,0.50884,0.85257,0.0005744,0.0005744,0.0005744
74,100.372,1.10899,0.50689,0.86819,1,0.99149,0.995,0.63809,1.2447,0.51548,0.84798,0.0005546,0.0005546,0.0005546
75,101.79,1.11435,0.50494,0.8683,1,0.99157,0.995,0.64391,1.22197,0.50603,0.84775,0.0005348,0.0005348,0.0005348
76,103.181,1.09569,0.48534,0.87343,0.99324,0.98616,0.9948,0.64977,1.22962,0.4847,0.84931,0.000515,0.000515,0.000515
77,104.509,1.0706,0.48227,0.85982,0.99871,0.97987,0.99473,0.66277,1.20622,0.48855,0.84405,0.0004952,0.0004952,0.0004952
78,105.843,1.04981,0.47943,0.87571,0.99871,0.97987,0.99234,0.67461,1.18717,0.48665,0.8427,0.0004754,0.0004754,0.0004754
79,107.179,1.05211,0.47379,0.87431,0.99324,0.98567,0.99487,0.67826,1.18771,0.48029,0.84376,0.0004556,0.0004556,0.0004556
80,108.747,1.04966,0.47822,0.8619,0.99869,0.98658,0.99493,0.67337,1.17661,0.48104,0.84051,0.0004358,0.0004358,0.0004358
81,110.086,1.06642,0.4759,0.8566,0.99846,0.98658,0.9948,0.66075,1.20011,0.47585,0.84556,0.000416,0.000416,0.000416
82,111.415,1.11435,0.49397,0.86066,1,0.99202,0.995,0.6671,1.17652,0.48078,0.84008,0.0003962,0.0003962,0.0003962
83,112.817,1.0678,0.47601,0.85926,0.99213,0.97987,0.99375,0.65678,1.19944,0.47714,0.84134,0.0003764,0.0003764,0.0003764
84,114.205,1.05042,0.46646,0.86616,0.99841,0.98658,0.99283,0.66684,1.17862,0.48265,0.83923,0.0003566,0.0003566,0.0003566
85,115.543,1.0921,0.48239,0.85582,0.99199,0.97987,0.98627,0.66226,1.17698,0.47595,0.83812,0.0003368,0.0003368,0.0003368
86,116.879,1.05084,0.47299,0.85883,0.99171,0.97987,0.98702,0.66804,1.17766,0.47692,0.84165,0.000317,0.000317,0.000317
87,118.15,1.04978,0.46414,0.85761,0.99324,0.98592,0.99373,0.66735,1.19256,0.47595,0.84199,0.0002972,0.0002972,0.0002972
88,119.425,1.02989,0.4624,0.85065,0.99163,0.97987,0.98583,0.66639,1.18281,0.465,0.84283,0.0002774,0.0002774,0.0002774
89,120.72,1.07191,0.47354,0.85771,0.99854,0.98658,0.99176,0.67318,1.18054,0.476,0.84296,0.0002576,0.0002576,0.0002576
90,122.009,1.05303,0.46748,0.85185,0.99843,0.98658,0.99244,0.66777,1.17364,0.4729,0.83948,0.0002378,0.0002378,0.0002378
91,145.965,1.01026,0.447,0.86918,0.99209,0.97987,0.98672,0.66949,1.18747,0.47448,0.84075,0.000218,0.000218,0.000218
92,147.299,0.9912,0.42795,0.85787,0.99916,0.98658,0.9924,0.67703,1.16786,0.46588,0.8386,0.0001982,0.0001982,0.0001982
93,148.636,0.98881,0.43158,0.856,1,0.98618,0.99233,0.67895,1.1721,0.46864,0.84081,0.0001784,0.0001784,0.0001784
94,149.93,0.97981,0.43092,0.84702,1,0.98611,0.99271,0.67226,1.15669,0.46546,0.8386,0.0001586,0.0001586,0.0001586
95,151.199,0.96434,0.42709,0.84863,0.99876,0.98658,0.99304,0.66294,1.15897,0.46394,0.83787,0.0001388,0.0001388,0.0001388
96,152.469,0.97029,0.42109,0.85525,1,0.99179,0.995,0.66421,1.16078,0.46238,0.83855,0.000119,0.000119,0.000119
97,153.778,0.95722,0.41482,0.85186,0.99987,0.98658,0.993,0.66961,1.17037,0.46803,0.84011,9.92e-05,9.92e-05,9.92e-05
98,155.088,0.95137,0.41303,0.85512,1,0.98585,0.993,0.66589,1.18188,0.46875,0.8412,7.94e-05,7.94e-05,7.94e-05
99,156.368,0.93372,0.40764,0.84319,0.99292,0.97987,0.99192,0.66861,1.18002,0.46698,0.84073,5.96e-05,5.96e-05,5.96e-05
100,157.746,0.98059,0.41778,0.85098,0.99247,0.97987,0.9865,0.66846,1.18092,0.46596,0.84105,3.98e-05,3.98e-05,3.98e-05
